seq,anchor_robot_t,step,step_robot_t,vx,wz,dt
5012,175723.9718,0,175723.9718,0.0,0.0,0.03333
5012,175723.9718,1,175724.0052,0.0,0.0,0.03333
5012,175723.9718,2,175724.0385,0.0,0.0,0.03333
5012,175723.9718,3,175724.0718,0.0,0.0,0.03333
5012,175723.9718,4,175724.1052,0.0,0.0,0.03333
5012,175723.9718,5,175724.1385,0.0,0.0,0.03333
5012,175723.9718,6,175724.1718,0.0,0.0,0.03333
5012,175723.9718,7,175724.2052,0.0,0.0,0.03333
5012,175723.9718,8,175724.2385,0.0,0.0,0.03333
5012,175723.9718,9,175724.2718,0.0,0.0,0.03333
5012,175723.9718,10,175724.3052,0.0,0.0,0.03333
5012,175723.9718,11,175724.3385,0.0,0.0,0.03333
5012,175723.9718,12,175724.3718,0.0,0.0,0.03333
5012,175723.9718,13,175724.4052,0.0,0.0,0.03333
5012,175723.9718,14,175724.4385,0.0,0.0,0.03333
5012,175723.9718,15,175724.4718,0.0,0.0,0.03333
5012,175723.9718,16,175724.5052,0.0,0.0,0.03333
5012,175723.9718,17,175724.5385,0.0,0.0,0.03333
5012,175723.9718,18,175724.5718,0.0,0.0,0.03333
5012,175723.9718,19,175724.6052,0.0,0.0,0.03333
5012,175723.9718,20,175724.6385,0.0,0.0,0.03333
5012,175723.9718,21,175724.6718,0.0,0.0,0.03333
5012,175723.9718,22,175724.7052,0.0,0.0,0.03333
5012,175723.9718,23,175724.7385,0.0,0.0,0.03333
5012,175723.9718,24,175724.7718,0.0,0.0,0.03333
5012,175723.9718,25,175724.8052,0.0,0.0,0.03333
5012,175723.9718,26,175724.8385,0.0,0.0,0.03333
5012,175723.9718,27,175724.8718,0.0,0.0,0.03333
5012,175723.9718,28,175724.9052,0.0,0.0,0.03333
5012,175723.9718,29,175724.9385,0.0,0.0,0.03333
5012,175723.9718,30,175724.9718,0.0,0.0,0.03333
5012,175723.9718,31,175725.0052,0.0,0.0,0.03333
5013,175724.0732,0,175724.0732,0.0,0.0,0.03333
5013,175724.0732,1,175724.1066,0.0,0.0,0.03333
5013,175724.0732,2,175724.1399,0.0,0.0,0.03333
5013,175724.0732,3,175724.1732,0.0,0.0,0.03333
5013,175724.0732,4,175724.2066,0.0,0.0,0.03333
5013,175724.0732,5,175724.2399,0.0,0.0,0.03333
5013,175724.0732,6,175724.2732,0.0,0.0,0.03333
5013,175724.0732,7,175724.3066,0.0,0.0,0.03333
5013,175724.0732,8,175724.3399,0.0,0.0,0.03333
5013,175724.0732,9,175724.3732,0.0,0.0,0.03333
5013,175724.0732,10,175724.4066,0.0,0.0,0.03333
5013,175724.0732,11,175724.4399,0.0,0.0,0.03333
5013,175724.0732,12,175724.4732,0.0,0.0,0.03333
5013,175724.0732,13,175724.5066,0.0,0.0,0.03333
5013,175724.0732,14,175724.5399,0.0,0.0,0.03333
5013,175724.0732,15,175724.5732,0.0,0.0,0.03333
5013,175724.0732,16,175724.6066,0.0,0.0,0.03333
5013,175724.0732,17,175724.6399,0.0,0.0,0.03333
