t,infer,step,vx_raw,wz_raw
1784787555.8412,1,0,-5e-05,0.01699
1784787555.8412,1,1,0.0018,0.01489
1784787555.8412,1,2,-0.00058,0.02233
1784787555.8412,1,3,-0.00532,0.02487
1784787555.8412,1,4,-0.00477,0.02718
1784787555.8412,1,5,-0.01464,0.01818
1784787555.8412,1,6,-0.0398,0.01768
1784787555.8412,1,7,-0.02383,-0.00697
1784787555.8412,1,8,-0.0312,-0.01059
1784787555.8412,1,9,-0.03693,-0.00239
1784787555.8412,1,10,-0.03943,-0.01077
1784787555.8412,1,11,-0.05443,0.01503
1784787555.8412,1,12,-0.07023,0.03965
1784787555.8412,1,13,-0.06607,0.05571
1784787555.8412,1,14,-0.07112,0.05643
1784787555.8412,1,15,-0.07557,0.05352
1784787555.8412,1,16,-0.07727,0.05498
1784787555.8412,1,17,-0.07803,0.04156
1784787555.8412,1,18,-0.07398,0.03966
1784787555.8412,1,19,-0.06723,0.06563
1784787555.8412,1,20,-0.07408,0.04391
1784787555.8412,1,21,-0.07324,0.03606
1784787555.8412,1,22,-0.06859,0.02148
1784787555.8412,1,23,-0.07472,0.03203
1784787555.8412,1,24,-0.07408,0.02729
1784787555.8412,1,25,-0.06394,0.02852
1784787555.8412,1,26,-0.06962,0.04662
1784787555.8412,1,27,-0.06173,0.03322
1784787555.8412,1,28,-0.07068,0.04191
1784787555.8412,1,29,-0.0713,0.02225
1784787555.8412,1,30,-0.07346,0.02347
1784787555.8412,1,31,-0.04866,0.01988
1784787555.8412,1,32,-0.04767,0.01775
1784787555.8412,1,33,-0.05301,0.0179
1784787555.8412,1,34,-0.04009,0.02779
1784787555.8412,1,35,-0.04465,0.03296
1784787555.8412,1,36,-0.04071,0.0236
1784787555.8412,1,37,-0.03116,0.01409
1784787555.8412,1,38,-0.03238,0.03457
1784787555.8412,1,39,-0.0322,0.03337
1784787555.8412,1,40,-0.02909,0.01694
1784787555.8412,1,41,-0.02502,0.02323
1784787555.8412,1,42,-0.02454,0.02914
1784787555.8412,1,43,-0.02627,0.009
1784787555.8412,1,44,-0.03511,0.01261
1784787555.8412,1,45,-0.03845,0.02306
1784787555.8412,1,46,-0.03633,0.0251
1784787555.8412,1,47,-0.03853,0.03644
